epoch,lr,train_loss,val_loss,val_auc,val_ap,val_f1,val_precision,val_recall,val_threshold,val_size_acc,val_size_top2_acc,val_size_mae_cm,val_depth_acc
1,0.0001,1.3253528860458286,1.0808822701410044,0.8037304893308747,0.5259175813918979,0.6024096385542169,0.4428341384863124,0.9417808219178082,0.439,0.18835616438356165,0.4726027397260274,0.39648347296943404,0.21575342465753425
2,0.0001,1.2501068393646797,0.9927058826561924,0.8417680617755532,0.572091239651074,0.6431924882629108,0.48928571428571427,0.9383561643835616,0.442,0.2568493150684932,0.5068493150684932,0.360723855560773,0.2876712328767123
3,0.0001,1.1743354301911102,0.9267188694553443,0.8462526343519494,0.6016293834190466,0.658653846153846,0.5074074074074074,0.9383561643835616,0.459,0.3116438356164384,0.5787671232876712,0.3283290397630979,0.13013698630136986
4,0.0001,1.1212558793485103,0.9255220207031087,0.8478723491833509,0.5892954723503413,0.6537467700258398,0.524896265560166,0.8664383561643836,0.5700000000000001,0.3219178082191781,0.5753424657534246,0.31927284067624234,0.17465753424657535
5,0.0001,1.0908535125513268,0.9154155544963172,0.8507083937038987,0.5931351313590488,0.6600496277915633,0.5175097276264592,0.910958904109589,0.542,0.3287671232876712,0.5616438356164384,0.30748293089540035,0.17465753424657535
6,0.0001,1.06075017587585,0.9376489167960089,0.8580866372497364,0.5905390369044043,0.6717752234993615,0.5356415478615071,0.9006849315068494,0.635,0.2945205479452055,0.5821917808219178,0.301631653145568,0.1095890410958904
7,0.0001,1.0390622600979094,0.8677211221426832,0.8577264719441517,0.5972141949018781,0.6746987951807228,0.5204460966542751,0.958904109589041,0.34800000000000003,0.3698630136986301,0.5684931506849316,0.2888128888117124,0.11986301369863013
8,0.0001,1.0331156098554048,0.9012920839506536,0.8642897128556376,0.5938701688676918,0.6683673469387754,0.532520325203252,0.8972602739726028,0.5670000000000001,0.3321917808219178,0.5958904109589042,0.28613630957799413,0.0958904109589041
9,0.0001,1.032060013384775,0.922008276197834,0.8541289350632244,0.5806755874870072,0.6601466992665036,0.5133079847908745,0.9246575342465754,0.58,0.3493150684931507,0.5958904109589042,0.2840999401595494,0.1404109589041096
10,0.0001,1.0191978738651803,0.8764047618438341,0.8611449552160169,0.5893619434243365,0.6693017127799737,0.5438972162740899,0.8698630136986302,0.5750000000000001,0.3938356164383562,0.6472602739726028,0.26046567828687905,0.14383561643835616
11,0.0001,0.9996769640822074,0.8836424274376703,0.8489610774499474,0.5724776915982991,0.6691358024691357,0.5231660231660231,0.928082191780822,0.536,0.5102739726027398,0.6575342465753424,0.2738073460043293,0.1643835616438356
12,0.0001,1.0030556924100058,0.8832373252118609,0.8617623814541623,0.5859195055821098,0.671623296158612,0.5262135922330097,0.928082191780822,0.521,0.386986301369863,0.6472602739726028,0.2684796530089966,0.13356164383561644
13,0.0001,0.9838568646876104,0.8708229196453434,0.8650594375658589,0.5926721398145214,0.6867167919799498,0.541501976284585,0.9383561643835616,0.516,0.3698630136986301,0.6472602739726028,0.2770973125549212,0.11301369863013698
14,0.0001,0.9790670193790211,0.9267058822183847,0.8540857152265542,0.5727604180897385,0.6584766584766585,0.5134099616858238,0.9178082191780822,0.614,0.4417808219178082,0.7054794520547946,0.25784668408028066,0.2328767123287671
15,0.0001,0.9670922082721516,0.8303327204069633,0.8631104287407798,0.5940146184478992,0.6822085889570552,0.5315487571701721,0.952054794520548,0.466,0.4931506849315068,0.7226027397260274,0.25090709941027917,0.14383561643835616
16,0.0001,0.9544229511307484,0.8977967210087487,0.842535728398314,0.55428960013068,0.6507394766780432,0.48722316865417375,0.9794520547945206,0.446,0.4657534246575342,0.7602739726027398,0.2590892686419291,0.17123287671232876
17,0.0001,0.9583011599396668,0.8629374531664458,0.8490722141728135,0.5612741338723021,0.6658259773013872,0.5269461077844312,0.9041095890410958,0.506,0.5308219178082192,0.7705479452054794,0.23658509511653691,0.1267123287671233
18,0.0001,0.9509125471602842,0.8467996551048713,0.8501074321654374,0.5676920401969586,0.6618705035971223,0.5092250922509225,0.9452054794520548,0.507,0.5787671232876712,0.7568493150684932,0.2296175536227553,0.1541095890410959
19,5e-05,0.9336007053113171,0.7981041012285442,0.8664959826132771,0.5918845067286802,0.6958698372966208,0.5483234714003945,0.952054794520548,0.463,0.5684931506849316,0.7636986301369864,0.23035774124811773,0.14726027397260275
20,5e-05,0.932831605261924,0.8515183425034493,0.851099430321391,0.5689295523579848,0.6611764705882354,0.503584229390681,0.9623287671232876,0.502,0.5445205479452054,0.7534246575342466,0.23724520145213768,0.1541095890410959
21,5e-05,0.9319958240962297,0.8193180011684784,0.8524454195205479,0.5700414711130534,0.669250645994832,0.5373443983402489,0.886986301369863,0.5,0.5684931506849316,0.773972602739726,0.22320212240088477,0.15753424657534246
22,5e-05,0.935241566515603,0.8135974122960372,0.862949897918862,0.5882681191657848,0.6862026862026862,0.5332068311195446,0.9623287671232876,0.49,0.5445205479452054,0.7808219178082192,0.2318424306911965,0.17123287671232876
23,5e-05,0.9297227195371672,0.8287745086323748,0.8563249143835617,0.577876977750597,0.6716049382716048,0.525096525096525,0.9315068493150684,0.459,0.5445205479452054,0.7534246575342466,0.2243360017668711,0.11986301369863013
24,5e-05,0.917068190067407,0.8571232181851126,0.8389032040305584,0.5477074974254093,0.6523297491039426,0.5009174311926605,0.934931506849315,0.499,0.5684931506849316,0.773972602739726,0.22363698115087535,0.1541095890410959
25,2.5e-05,0.9054070558313864,0.8486039901543342,0.8445423636722866,0.5589583205910515,0.659367396593674,0.5113207547169811,0.928082191780822,0.496,0.5616438356164384,0.7773972602739726,0.22569930920862172,0.1643835616438356
26,2.5e-05,0.9114424183919004,0.818705377417527,0.8564854452054795,0.5755022384463636,0.6767676767676768,0.536,0.9178082191780822,0.488,0.5582191780821918,0.7705479452054794,0.2167619323893769,0.136986301369863
27,2.5e-05,0.9204015773471776,0.8242383344741903,0.8540651343519494,0.5718775233379921,0.6692708333333333,0.5399159663865546,0.8801369863013698,0.523,0.565068493150685,0.773972602739726,0.21502759828142923,0.1643835616438356
28,2.5e-05,0.9057795322270593,0.850294922594498,0.8441863145416227,0.563331930314003,0.6509988249118683,0.49552772808586765,0.9486301369863014,0.492,0.571917808219178,0.7705479452054794,0.2245715519745056,0.17465753424657535
29,2.5e-05,0.9192405812902089,0.8204137566250839,0.8563804827449947,0.5788069588180477,0.6642685851318945,0.511070110701107,0.9486301369863014,0.47800000000000004,0.571917808219178,0.8013698630136986,0.21399436135814615,0.1643835616438356
30,1.25e-05,0.9055226063752719,0.8302132058822388,0.8510911979715491,0.5710090545422855,0.6635071090047394,0.5072463768115942,0.958904109589041,0.46900000000000003,0.5856164383561644,0.7876712328767124,0.2146992224128279,0.17465753424657535
31,1.25e-05,0.9074299569590035,0.834497111335768,0.8537399565331927,0.5747597370540739,0.6618531889290012,0.5102040816326531,0.9417808219178082,0.487,0.571917808219178,0.7842465753424658,0.2179424383052408,0.1541095890410959
