epoch,lr,train_loss,val_loss,val_size_acc,val_size_top2,val_size_coarse_acc,val_size_mae_cm,val_depth_acc,val_depth_top2,val_deep_acc,val_deep_auc,val_gate_coverage,val_composite_score
1,0.0007,3.467574740935624,3.9719050289833384,0.2671232876712329,0.6335616438356164,0.6643835616438356,0.27686214447021484,0.11301369863013698,0.4212328767123288,0.4691780821917808,0.2804123711340206,0.952054794520548,1.2361133772073332
2,0.0007,2.9009297007877106,3.623866646257165,0.4965753424657534,0.6164383561643836,0.7636986301369864,0.21733246743679047,0.15753424657534246,0.3835616438356164,0.4452054794520548,0.27480835315886865,0.952054794520548,1.6239457033813807
3,0.0007,2.581543336904703,3.443247269277703,0.5,0.6541095890410958,0.7705479452054794,0.21519997715950012,0.15753424657534246,0.3972602739726027,0.4794520547945205,0.31519957705524715,0.952054794520548,1.6908864878786773
4,0.0007,2.351877580110099,3.29656146650445,0.4863013698630137,0.7123287671232876,0.8287671232876712,0.1894742101430893,0.1780821917808219,0.4006849315068493,0.5102739726027398,0.33312186095691254,0.952054794520548,1.780844932741195
5,0.0007,2.1435521809753197,3.231201312313341,0.5034246575342466,0.7602739726027398,0.8184931506849316,0.18260560929775238,0.2910958904109589,0.4726027397260274,0.4965753424657534,0.34977531060005285,0.952054794520548,1.9780031758282497
6,0.0007,1.911682796933486,3.3492559014934384,0.547945205479452,0.773972602739726,0.791095890410959,0.16228632628917694,0.3664383561643836,0.565068493150685,0.4349315068493151,0.3784298176050753,0.952054794520548,2.169744146794585
7,0.0007,1.689980014127308,3.4112453199412727,0.5513698630136986,0.8253424657534246,0.821917808219178,0.17292360961437225,0.3287671232876712,0.5273972602739726,0.5445205479452054,0.39545334390695214,0.952054794520548,2.192716229107158
8,0.0007,1.4996669010785997,3.9533963693331367,0.5616438356164384,0.7602739726027398,0.7876712328767124,0.15942293405532837,0.3904109589041096,0.636986301369863,0.4863013698630137,0.4278614855934444,0.952054794520548,2.2304544214143722
9,0.0007,1.3418627855032326,3.5899222648307068,0.547945205479452,0.7945205479452054,0.8082191780821918,0.18410173058509827,0.3732876712328767,0.7054794520547946,0.5342465753424658,0.471847739888977,0.952054794520548,2.2542421943397817
10,0.0007,1.205510771217665,4.142723965318235,0.4931506849315068,0.678082191780822,0.7876712328767124,0.2055627554655075,0.4486301369863014,0.7397260273972602,0.5171232876712328,0.5028813111287338,0.952054794520548,2.087639986423476
11,0.0007,1.0118229448937572,4.327935320057281,0.5547945205479452,0.726027397260274,0.8047945205479452,0.19653905928134918,0.3972602739726027,0.660958904109589,0.5136986301369864,0.5247158339941844,0.952054794520548,2.186790176826891
12,0.0007,0.9089624756560405,4.745537470464837,0.5513698630136986,0.7465753424657534,0.8321917808219178,0.17502045631408691,0.4006849315068493,0.5993150684931506,0.4554794520547945,0.43261961406291305,0.952054794520548,2.181323469971308
13,0.0007,0.7982640787070008,4.791491469291792,0.5376712328767124,0.75,0.7876712328767124,0.17365173995494843,0.4075342465753425,0.7191780821917808,0.5034246575342466,0.5157282579962992,0.952054794520548,2.233503823220048
14,0.0007,0.7169245548350714,4.776355645427965,0.5273972602739726,0.7808219178082192,0.797945205479452,0.2198304682970047,0.3116438356164384,0.6883561643835616,0.5513698630136986,0.5129791171028285,0.952054794520548,2.1395379388846787
15,0.0007,0.6855158148631275,5.835960976065022,0.5547945205479452,0.7773972602739726,0.791095890410959,0.16733196377754211,0.3732876712328767,0.7123287671232876,0.4931506849315068,0.47216494845360824,0.952054794520548,2.2598605975982173
